text,label
"Donald Trump says he won the election.",1
"The earth is flat and NASA is lying to us.",1
"COVID-19 vaccines are a government tracking plan.",1
"Scientists discovered a new planet in the solar system.",0
"NASA confirms presence of water on the moon.",0
"Apple launches new iPhone with advanced AI features.",0
"Aliens built the pyramids in Egypt.",1
"WHO recommends wearing masks during flu outbreaks.",0
"5G towers are spreading coronavirus.",1
"Tesla unveils new self-driving car model.",0
"Bill Gates wants to microchip everyone.",1
"Microsoft releases update to Windows OS.",0
"Moon landing was staged in a Hollywood studio.",1
"New study shows exercise boosts brain function.",0
"Government using chemtrails to control weather.",1
"Doctors recommend 8 hours of sleep for health.",0
"Vaccines are causing autism in children.",1
"Apple announces new iPad with M2 chip.",0
"Flat Earth theory gaining traction online.",1
"Global warming is a hoax invented by China.",1
"UNICEF working to reduce child mortality.",0
"NASA finds new galaxy using James Webb Telescope.",0
"Drinking water helps concentration and memory.",0
"Climate change is a lie by elites to control us.",1
